wavelength[nm],species,ext_eff[meter ** 2 / kilogram],fine_fraction[1],growth_factor[1]
532,SEAS_1,4072.1045869984496,1.0,1.1
532,SEAS_1,4210.4762049456485,1.0,1.12
532,SEAS_1,4355.012640310231,1.0,1.14
532,SEAS_1,4506.020262194904,1.0,1.16
532,SEAS_1,4660.063101504893,1.0,1.18
532,SEAS_1,4813.903299600775,1.0,1.2
532,SEAS_1,4966.261069670938,0.9779535077588639,1.22
532,SEAS_1,5117.094903099773,0.9568279204278113,1.24
532,SEAS_1,5267.468513407259,0.9363603188442954,1.26
532,SEAS_1,5419.846634562014,0.9160966327088017,1.28
532,SEAS_1,5577.569636979533,0.8955273209623056,1.3
532,SEAS_1,5741.547801372548,0.8746177470668022,1.32
532,SEAS_1,5908.151573819901,0.8584817560081641,1.34
532,SEAS_1,6073.618685142163,0.838675346284905,1.36
532,SEAS_1,6236.4211282361775,0.8242372285539455,1.38
532,SEAS_1,6396.548047294535,0.8062657037130957,1.4
532,SEAS_1,6555.429183130693,0.7932546527579238,1.42
532,SEAS_1,6716.2268127288935,0.7761382515974025,1.44
532,SEAS_1,6882.639958083713,0.7630806153001481,1.46
532,SEAS_1,7054.322791235657,0.7498627899643381,1.48
532,SEAS_1,7226.583380233211,0.7370059349899893,1.5
532,SEAS_1,7396.192830975799,0.7248064655513218,1.52
532,SEAS_1,7562.2195338178535,0.7132972561731726,1.54
532,SEAS_1,7725.284161309412,0.6984066476852745,1.56
532,SEAS_1,7887.877763376329,0.6917395407271197,1.58
532,SEAS_1,8054.383660317018,0.6810363418815238,1.6
532,SEAS_1,8227.711447971496,0.6700382530142999,1.62
532,SEAS_1,8404.26220313656,0.6590739265444087,1.64
532,SEAS_1,8579.123409338681,0.6485263014112012,1.66
532,SEAS_1,8750.381798745893,0.6385054142365624,1.68
532,SEAS_1,8917.927275387308,0.6326018114814219,1.7
532,SEAS_1,9083.639440543913,0.6233544637037252,1.72
532,SEAS_1,9251.913316310533,0.6176707959334201,1.74
532,SEAS_1,9427.932732691128,0.6080784903597246,1.76
532,SEAS_1,9610.5383999784,0.6017540028883636,1.78
532,SEAS_1,9793.588383805136,0.5921154072297272,1.8
532,SEAS_1,9974.12451389946,0.586228499890827,1.82
532,SEAS_1,10151.214621026767,0.5773060845838791,1.84
532,SEAS_1,10325.88255570721,0.5720042949280849,1.86
532,SEAS_1,10502.148564523259,0.5667066734300624,1.88
532,SEAS_1,10686.510380728667,0.557824332666437,1.9
532,SEAS_1,10880.786666680917,0.5518236405899855,1.92
532,SEAS_1,11078.34143110167,0.5457888001647403,1.94
532,SEAS_1,11275.380054926929,0.53990783452039,1.96
532,SEAS_1,11470.31209482599,0.5311436465074988,1.98
532,SEAS_1,11663.022787402006,0.5257200282907635,2.0
532,SEAS_1,11856.811116782099,0.5203457180702431,2.02
532,SEAS_1,12058.630543353065,0.5147220843932426,2.04
532,SEAS_1,12273.012596787159,0.5086838301984574,2.06
532,SEAS_1,12493.244147091515,0.5025395772496407,2.08
532,SEAS_1,12714.910989644335,0.49647474138131853,2.1
532,SEAS_1,12936.283627963934,0.4905518989951301,2.12
532,SEAS_1,13156.030367489235,0.484811547390764,2.14
532,SEAS_1,13376.593637587932,0.47915400963870847,2.16
532,SEAS_1,13604.883912165278,0.47611641989210485,2.18
532,SEAS_1,13847.62077516758,0.469890513894278,2.2
532,SEAS_1,14098.05644671377,0.46354926452543715,2.22
532,SEAS_1,14351.061277214943,0.45727095280129354,2.24
532,SEAS_1,14605.270267491182,0.45109637298649585,2.26
532,SEAS_1,14858.03367474792,0.44772601719482696,2.28
532,SEAS_1,15110.96890655974,0.44181601376971935,2.3
532,SEAS_1,15370.889035140419,0.43582510368634636,2.32
532,SEAS_1,15646.372766105218,0.43207008146815806,2.34
